traversal_achieved,total_climb_points,event,match,alliance_color,teams,auto_points,endgame_points,description
False,40,2026brba,2026brba_qm31,red,"frc10291,frc9305,frc1156",30,10,"event=2026brba match=2026brba_qm31 RED teams=frc10291,frc9305,frc1156 – auto tower 30 (R1=Level1, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,40,2026mefal,2026mefal_qm32,red,"frc190,frc8046,frc11336",0,40,"event=2026mefal match=2026mefal_qm32 RED teams=frc190,frc8046,frc11336 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 40 (R1=Level3, R2=None, R3=Level1)"
False,40,2026mndu,2026mndu_sf12m1,blue,"frc8422,frc7797,frc2181",0,40,"event=2026mndu match=2026mndu_sf12m1 BLUE teams=frc8422,frc7797,frc2181 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 40 (R1=None, R2=Level1, R3=Level3)"
False,40,2026mndu2,2026mndu2_qm24,blue,"frc9532,frc3298,frc3102",0,40,"event=2026mndu2 match=2026mndu2_qm24 BLUE teams=frc9532,frc3298,frc3102 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 40 (R1=None, R2=Level1, R3=Level3)"
False,40,2026vaale,2026vaale_sf3m1,blue,"frc2363,frc2890,frc4638",30,10,"event=2026vaale match=2026vaale_sf3m1 BLUE teams=frc2363,frc2890,frc4638 – auto tower 30 (R1=None, R2=Level1, R3=Level1), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,35,2026bcvi,2026bcvi_qm16,red,"frc8331,frc6766,frc9449",15,20,"event=2026bcvi match=2026bcvi_qm16 RED teams=frc8331,frc6766,frc9449 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level2, R2=None, R3=None)"
False,35,2026bcvi,2026bcvi_qm17,blue,"frc359,frc10120,frc5461",15,20,"event=2026bcvi match=2026bcvi_qm17 BLUE teams=frc359,frc10120,frc5461 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level1, R2=Level1, R3=None)"
False,35,2026bcvi,2026bcvi_qm67,red,"frc3990,frc8331,frc11354",15,20,"event=2026bcvi match=2026bcvi_qm67 RED teams=frc3990,frc8331,frc11354 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026bcvi,2026bcvi_qm74,blue,"frc8338,frc8331,frc7796",15,20,"event=2026bcvi match=2026bcvi_qm74 BLUE teams=frc8338,frc8331,frc7796 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026bcvi,2026bcvi_sf1m1,blue,"frc9719,frc8331,frc4627",15,20,"event=2026bcvi match=2026bcvi_sf1m1 BLUE teams=frc9719,frc8331,frc4627 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026brba,2026brba_qm55,red,"frc7563,frc9110,frc9459",15,20,"event=2026brba match=2026brba_qm55 RED teams=frc7563,frc9110,frc9459 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level1, R3=Level1)"
False,35,2026brba,2026brba_qm64,red,"frc9199,frc9459,frc10291",15,20,"event=2026brba match=2026brba_qm64 RED teams=frc9199,frc9459,frc10291 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 20 (R1=None, R2=Level1, R3=Level1)"
False,35,2026brba,2026brba_sf5m1,blue,"frc1860,frc9110,frc7033",15,20,"event=2026brba match=2026brba_sf5m1 BLUE teams=frc1860,frc9110,frc7033 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level1, R3=Level1)"
False,35,2026brba,2026brba_sf8m1,red,"frc9169,frc9458,frc9200",15,20,"event=2026brba match=2026brba_sf8m1 RED teams=frc9169,frc9458,frc9200 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level1, R2=Level1, R3=None)"
False,35,2026cosp,2026cosp_qm59,blue,"frc10114,frc2996,frc1977",15,20,"event=2026cosp match=2026cosp_qm59 BLUE teams=frc10114,frc2996,frc1977 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level1, R2=Level1, R3=None)"
False,35,2026mndu,2026mndu_qm45,blue,"frc7849,frc5658,frc7797",15,20,"event=2026mndu match=2026mndu_qm45 BLUE teams=frc7849,frc5658,frc7797 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 20 (R1=None, R2=Level1, R3=Level1)"
False,35,2026mndu,2026mndu_qm50,red,"frc7797,frc5348,frc2823",15,20,"event=2026mndu match=2026mndu_qm50 RED teams=frc7797,frc5348,frc2823 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level1, R2=Level1, R3=None)"
False,35,2026okok,2026okok_qm15,blue,"frc2457,frc5968,frc5889",15,20,"event=2026okok match=2026okok_qm15 BLUE teams=frc2457,frc5968,frc5889 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=None, R3=Level2)"
False,35,2026okok,2026okok_qm26,red,"frc5889,frc2383,frc1806",15,20,"event=2026okok match=2026okok_qm26 RED teams=frc5889,frc2383,frc1806 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level2, R2=None, R3=None)"
False,35,2026okok,2026okok_qm47,red,"frc5889,frc1209,frc4256",15,20,"event=2026okok match=2026okok_qm47 RED teams=frc5889,frc1209,frc4256 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level2, R2=None, R3=None)"
False,35,2026orsal,2026orsal_qm36,blue,"frc8532,frc5920,frc3024",15,20,"event=2026orsal match=2026orsal_qm36 BLUE teams=frc8532,frc5920,frc3024 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 20 (R1=Level2, R2=None, R3=None)"
False,35,2026orsal,2026orsal_qm42,blue,"frc3673,frc8532,frc4060",15,20,"event=2026orsal match=2026orsal_qm42 BLUE teams=frc3673,frc8532,frc4060 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026orsal,2026orsal_qm57,blue,"frc2811,frc8532,frc4125",15,20,"event=2026orsal match=2026orsal_qm57 BLUE teams=frc2811,frc8532,frc4125 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026orsal,2026orsal_qm68,red,"frc6845,frc847,frc8532",15,20,"event=2026orsal match=2026orsal_qm68 RED teams=frc6845,frc847,frc8532 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 20 (R1=None, R2=None, R3=Level2)"
False,35,2026pahat,2026pahat_qm54,red,"frc2539,frc709,frc486",15,20,"event=2026pahat match=2026pahat_qm54 RED teams=frc2539,frc709,frc486 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level2, R3=None)"
False,35,2026vaale,2026vaale_sf6m1,red,"frc2363,frc2890,frc4638",15,20,"event=2026vaale match=2026vaale_sf6m1 RED teams=frc2363,frc2890,frc4638 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 20 (R1=None, R2=Level1, R3=Level1)"
False,30,2026cahal,2026cahal_qm38,red,"frc8793,frc9584,frc604",0,30,"event=2026cahal match=2026cahal_qm38 RED teams=frc8793,frc9584,frc604 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026cahal,2026cahal_sf5m1,blue,"frc10252,frc9584,frc3045",0,30,"event=2026cahal match=2026cahal_sf5m1 BLUE teams=frc10252,frc9584,frc3045 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026cosp,2026cosp_qm28,red,"frc9068,frc2996,frc4293",0,30,"event=2026cosp match=2026cosp_qm28 RED teams=frc9068,frc2996,frc4293 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026cosp,2026cosp_qm32,red,"frc2996,frc498,frc1619",0,30,"event=2026cosp match=2026cosp_qm32 RED teams=frc2996,frc498,frc1619 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026cosp,2026cosp_qm44,red,"frc9586,frc7485,frc2996",0,30,"event=2026cosp match=2026cosp_qm44 RED teams=frc9586,frc7485,frc2996 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,30,2026cosp,2026cosp_sf12m1,red,"frc1977,frc1619,frc2996",0,30,"event=2026cosp match=2026cosp_sf12m1 RED teams=frc1977,frc1619,frc2996 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,30,2026mabil,2026mabil_qm15,blue,"frc175,frc5902,frc3467",0,30,"event=2026mabil match=2026mabil_qm15 BLUE teams=frc175,frc5902,frc3467 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026mabil,2026mabil_qm34,red,"frc10393,frc175,frc1768",0,30,"event=2026mabil match=2026mabil_qm34 RED teams=frc10393,frc175,frc1768 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026mabil,2026mabil_qm46,red,"frc1071,frc8013,frc9729",0,30,"event=2026mabil match=2026mabil_qm46 RED teams=frc1071,frc8013,frc9729 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026mefal,2026mefal_qm13,red,"frc6691,frc190,frc2648",0,30,"event=2026mefal match=2026mefal_qm13 RED teams=frc6691,frc190,frc2648 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026mefal,2026mefal_qm17,blue,"frc3597,frc6329,frc190",0,30,"event=2026mefal match=2026mefal_qm17 BLUE teams=frc3597,frc6329,frc190 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,30,2026mefal,2026mefal_qm25,blue,"frc190,frc4564,frc3597",0,30,"event=2026mefal match=2026mefal_qm25 BLUE teams=frc190,frc4564,frc3597 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026mefal,2026mefal_qm29,red,"frc4473,frc8023,frc190",0,30,"event=2026mefal match=2026mefal_qm29 RED teams=frc4473,frc8023,frc190 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,30,2026mefal,2026mefal_qm3,blue,"frc4041,frc190,frc8410",0,30,"event=2026mefal match=2026mefal_qm3 BLUE teams=frc4041,frc190,frc8410 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026mefal,2026mefal_qm6,blue,"frc190,frc61,frc5687",0,30,"event=2026mefal match=2026mefal_qm6 BLUE teams=frc190,frc61,frc5687 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026mndu,2026mndu_qm37,red,"frc3267,frc3297,frc10490",0,30,"event=2026mndu match=2026mndu_qm37 RED teams=frc3267,frc3297,frc10490 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026okok,2026okok_qm53,blue,"frc1939,frc34,frc2333",0,30,"event=2026okok match=2026okok_qm53 BLUE teams=frc1939,frc34,frc2333 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026orsal,2026orsal_qm31,red,"frc5468,frc2521,frc749",0,30,"event=2026orsal match=2026orsal_qm31 RED teams=frc5468,frc2521,frc749 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level3, R2=None, R3=None)"
False,30,2026orsal,2026orsal_sf6m1,red,"frc6443,frc4061,frc753",0,30,"event=2026orsal match=2026orsal_sf6m1 RED teams=frc6443,frc4061,frc753 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,30,2026pahat,2026pahat_qm20,red,"frc2234,frc4575,frc2095",0,30,"event=2026pahat match=2026pahat_qm20 RED teams=frc2234,frc4575,frc2095 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026pahat,2026pahat_qm20,blue,"frc10070,frc10979,frc862",0,30,"event=2026pahat match=2026pahat_qm20 BLUE teams=frc10070,frc10979,frc862 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026pahat,2026pahat_qm63,blue,"frc4575,frc7110,frc10070",0,30,"event=2026pahat match=2026pahat_qm63 BLUE teams=frc4575,frc7110,frc10070 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=Level1, R2=None, R3=Level2)"
False,30,2026pahat,2026pahat_sf2m1,blue,"frc5684,frc4575,frc708",0,30,"event=2026pahat match=2026pahat_sf2m1 BLUE teams=frc5684,frc4575,frc708 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026txbel,2026txbel_qm47,blue,"frc436,frc10014,frc2468",0,30,"event=2026txbel match=2026txbel_qm47 BLUE teams=frc436,frc10014,frc2468 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=Level3, R3=None)"
False,30,2026week0,2026week0_qm10,blue,"frc5687,frc9644,frc131",0,30,"event=2026week0 match=2026week0_qm10 BLUE teams=frc5687,frc9644,frc131 – auto tower 0 (R1=None, R2=None, R3=None), endgame tower 30 (R1=None, R2=None, R3=Level3)"
False,25,2026bcvi,2026bcvi_f1m1,red,"frc359,frc9180,frc3683",15,10,"event=2026bcvi match=2026bcvi_f1m1 RED teams=frc359,frc9180,frc3683 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026bcvi,2026bcvi_qm33,blue,"frc7332,frc10527,frc8331",15,10,"event=2026bcvi match=2026bcvi_qm33 BLUE teams=frc7332,frc10527,frc8331 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026bcvi,2026bcvi_sf11m1,red,"frc359,frc9180,frc3683",15,10,"event=2026bcvi match=2026bcvi_sf11m1 RED teams=frc359,frc9180,frc3683 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026bcvi,2026bcvi_sf3m1,blue,"frc7334,frc11149,frc7688",15,10,"event=2026bcvi match=2026bcvi_sf3m1 BLUE teams=frc7334,frc11149,frc7688 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026bcvi,2026bcvi_sf7m1,red,"frc359,frc9180,frc3683",15,10,"event=2026bcvi match=2026bcvi_sf7m1 RED teams=frc359,frc9180,frc3683 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_qm23,blue,"frc9049,frc9617,frc10291",15,10,"event=2026brba match=2026brba_qm23 BLUE teams=frc9049,frc9617,frc10291 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026brba,2026brba_qm28,blue,"frc9110,frc10263,frc9046",15,10,"event=2026brba match=2026brba_qm28 BLUE teams=frc9110,frc10263,frc9046 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_qm36,blue,"frc9166,frc10291,frc7459",15,10,"event=2026brba match=2026brba_qm36 BLUE teams=frc9166,frc10291,frc7459 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026brba,2026brba_qm41,blue,"frc9175,frc10291,frc10297",15,10,"event=2026brba match=2026brba_qm41 BLUE teams=frc9175,frc10291,frc10297 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026brba,2026brba_qm50,blue,"frc9169,frc9485,frc10917",15,10,"event=2026brba match=2026brba_qm50 BLUE teams=frc9169,frc9485,frc10917 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_qm54,red,"frc10291,frc7565,frc9614",15,10,"event=2026brba match=2026brba_qm54 RED teams=frc10291,frc7565,frc9614 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_qm57,blue,"frc9461,frc9169,frc9045",15,10,"event=2026brba match=2026brba_qm57 BLUE teams=frc9461,frc9169,frc9045 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026brba,2026brba_qm69,blue,"frc10356,frc7565,frc9459",15,10,"event=2026brba match=2026brba_qm69 BLUE teams=frc10356,frc7565,frc9459 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026brba,2026brba_sf10m1,red,"frc9169,frc9458,frc9200",15,10,"event=2026brba match=2026brba_sf10m1 RED teams=frc9169,frc9458,frc9200 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_sf1m1,red,"frc7563,frc9066,frc1156",15,10,"event=2026brba match=2026brba_sf1m1 RED teams=frc7563,frc9066,frc1156 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026brba,2026brba_sf4m1,red,"frc9085,frc9166,frc10291",15,10,"event=2026brba match=2026brba_sf4m1 RED teams=frc9085,frc9166,frc10291 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026brba,2026brba_sf5m1,red,"frc9459,frc9049,frc7567",15,10,"event=2026brba match=2026brba_sf5m1 RED teams=frc9459,frc9049,frc7567 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026brba,2026brba_sf8m1,blue,"frc9085,frc9166,frc10291",15,10,"event=2026brba match=2026brba_sf8m1 BLUE teams=frc9085,frc9166,frc10291 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026capoh,2026capoh_f1m2,blue,"frc5805,frc5817,frc1148",15,10,"event=2026capoh match=2026capoh_f1m2 BLUE teams=frc5805,frc5817,frc1148 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026capoh,2026capoh_qm27,red,"frc5805,frc3128,frc3328",15,10,"event=2026capoh match=2026capoh_qm27 RED teams=frc5805,frc3128,frc3328 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026capoh,2026capoh_qm49,red,"frc1159,frc5136,frc8",15,10,"event=2026capoh match=2026capoh_qm49 RED teams=frc1159,frc5136,frc8 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026capoh,2026capoh_qm62,red,"frc4019,frc5136,frc7327",15,10,"event=2026capoh match=2026capoh_qm62 RED teams=frc4019,frc5136,frc7327 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026capoh,2026capoh_qm77,blue,"frc5136,frc2485,frc702",15,10,"event=2026capoh match=2026capoh_qm77 BLUE teams=frc5136,frc2485,frc702 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026capoh,2026capoh_sf4m1,blue,"frc2429,frc5136,frc7157",15,10,"event=2026capoh match=2026capoh_sf4m1 BLUE teams=frc2429,frc5136,frc7157 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026capoh,2026capoh_sf6m1,blue,"frc2429,frc5136,frc7157",15,10,"event=2026capoh match=2026capoh_sf6m1 BLUE teams=frc2429,frc5136,frc7157 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026capoh,2026capoh_sf8m1,blue,"frc5805,frc5817,frc1148",15,10,"event=2026capoh match=2026capoh_sf8m1 BLUE teams=frc5805,frc5817,frc1148 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026cosp,2026cosp_qm19,red,"frc5493,frc8044,frc10333",15,10,"event=2026cosp match=2026cosp_qm19 RED teams=frc5493,frc8044,frc10333 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026cosp,2026cosp_qm35,blue,"frc2240,frc4499,frc10114",15,10,"event=2026cosp match=2026cosp_qm35 BLUE teams=frc2240,frc4499,frc10114 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026cosp,2026cosp_qm54,red,"frc10333,frc1619,frc10114",15,10,"event=2026cosp match=2026cosp_qm54 RED teams=frc10333,frc1619,frc10114 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026cosp,2026cosp_sf7m1,red,"frc3288,frc8044,frc498",15,10,"event=2026cosp match=2026cosp_sf7m1 RED teams=frc3288,frc8044,frc498 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_f1m1,blue,"frc10434,frc3940,frc1501",15,10,"event=2026inmis match=2026inmis_f1m1 BLUE teams=frc10434,frc3940,frc1501 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026inmis,2026inmis_f1m2,blue,"frc10434,frc1501,frc3940",15,10,"event=2026inmis match=2026inmis_f1m2 BLUE teams=frc10434,frc1501,frc3940 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_qm13,red,"frc10332,frc1024,frc10411",15,10,"event=2026inmis match=2026inmis_qm13 RED teams=frc10332,frc1024,frc10411 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_qm20,red,"frc9453,frc1024,frc8431",15,10,"event=2026inmis match=2026inmis_qm20 RED teams=frc9453,frc1024,frc8431 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_qm25,blue,"frc447,frc1501,frc328",15,10,"event=2026inmis match=2026inmis_qm25 BLUE teams=frc447,frc1501,frc328 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_qm35,red,"frc5484,frc5010,frc1501",15,10,"event=2026inmis match=2026inmis_qm35 RED teams=frc5484,frc5010,frc1501 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026inmis,2026inmis_qm55,red,"frc71,frc1501,frc8103",15,10,"event=2026inmis match=2026inmis_qm55 RED teams=frc71,frc1501,frc8103 – auto tower 15 (R1=None, R2=Level1, R3=None), endgame tower 10 (R1=None, R2=Level1, R3=None)"
False,25,2026inmis,2026inmis_qm66,blue,"frc1501,frc9453,frc2867",15,10,"event=2026inmis match=2026inmis_qm66 BLUE teams=frc1501,frc9453,frc2867 – auto tower 15 (R1=Level1, R2=None, R3=None), endgame tower 10 (R1=Level1, R2=None, R3=None)"
False,25,2026inmis,2026inmis_sf13m1,red,"frc10434,frc3940,frc1501",15,10,"event=2026inmis match=2026inmis_sf13m1 RED teams=frc10434,frc3940,frc1501 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
False,25,2026inmis,2026inmis_sf1m1,red,"frc10434,frc3940,frc1501",15,10,"event=2026inmis match=2026inmis_sf1m1 RED teams=frc10434,frc3940,frc1501 – auto tower 15 (R1=None, R2=None, R3=Level1), endgame tower 10 (R1=None, R2=None, R3=Level1)"
